,nature,rootnote,rootoctave,order,number,bpm,total_offset,initial_offset,red,green,blue,instrument,amp,cutoff,pan,attack,release,mod_range,mod_phase,mix_reverb,mix_echo,pitch
0,BASS,24,3,6,1,60,0,0.5,214,255,123,6,0.79,91,0,0,1,10,0.24,0.67,0,0
0,GUITAR,28,5,8,2,30,0.375,0.5,127,120,255,2,0.73,96,-0.42,0,0.56,11,0.14,0.8,0.12,-37
0,KICK,28,3,6,2,60,0,0.5,179,226,108,1,0.52,100,0,0,1,3,0.5,0.18,0.42,0
0,SNARE,33,4,6,1,30,0.25,0.5,169,204,111,2,0.62,100,0,0,1,8,0.64,0.31,0.23,1
0,SYNTH,34,4,6,3,60,0,0.33,255,162,225,2,0.98,75,-0.21,0,1,6,0.33,0.72,0.57,4
