,nature,rootnote,rootoctave,order,number,bpm,total_offset,initial_offset,red,green,blue,instrument,amp,cutoff,pan,attack,release,mod_range,mod_phase,mix_reverb,mix_echo,pitch
0,BASS,35,3,8,1,40,0,0.5,174,255,192,1,0.51,90,0,0,1,3,0.63,0.87,0,0
0,GUITAR,31,5,6,2,20,0.75,0.5,128,229,255,9,0.6,59,-0.08,0,0.01,11,0.27,0.99,0.18,-34
0,HAT,34,5,6,3,20,0.5,0.0,155,102,255,1,0.81,72,0.35,0,0.07,11,0.31,0.9,0.5,4
0,SNARE,24,5,8,2,40,0.375,0.5,254,151,187,5,1.0,100,0,0,1,5,0.39,0.14,0.32,-2
0,SYNTH,31,5,8,5,40,0,1.5,255,251,115,9,0.81,83,-0.32,0,1,10,0.53,0.82,0.09,1
